Description	ID	>AT	>Cc	>So
Organisms_order_>AT_>Cc_>So	1	1	1	1
Organisms_order_>AT_>Cc_>So	3	1	1	1
Organisms_order_>AT_>Cc_>So	7	1	1	0
Organisms_order_>AT_>Cc_>So	9	3	1	1
Organisms_order_>AT_>Cc_>So	10	1	1	1
Organisms_order_>AT_>Cc_>So	15	3	2	2
Organisms_order_>AT_>Cc_>So	16	4	1	1
Organisms_order_>AT_>Cc_>So	19	1	0	0
Organisms_order_>AT_>Cc_>So	23	0	0	1
Organisms_order_>AT_>Cc_>So	26	0	1	1
Organisms_order_>AT_>Cc_>So	32	2	1	1
Organisms_order_>AT_>Cc_>So	36	3	0	0
Organisms_order_>AT_>Cc_>So	41	1	0	0
Organisms_order_>AT_>Cc_>So	42	1	1	0
Organisms_order_>AT_>Cc_>So	43	1	1	0
Organisms_order_>AT_>Cc_>So	45	0	1	0
Organisms_order_>AT_>Cc_>So	46	0	1	0
Organisms_order_>AT_>Cc_>So	48	2	1	0
Organisms_order_>AT_>Cc_>So	49	0	0	1
Organisms_order_>AT_>Cc_>So	50	1	1	1
Organisms_order_>AT_>Cc_>So	53	1	0	0
Organisms_order_>AT_>Cc_>So	54	1	1	0
Organisms_order_>AT_>Cc_>So	55	0	0	1
Organisms_order_>AT_>Cc_>So	56	1	0	0
Organisms_order_>AT_>Cc_>So	57	0	2	1
Organisms_order_>AT_>Cc_>So	58	0	1	0
Organisms_order_>AT_>Cc_>So	61	1	0	0
Organisms_order_>AT_>Cc_>So	62	1	1	1
Organisms_order_>AT_>Cc_>So	63	1	1	1
Organisms_order_>AT_>Cc_>So	67	0	1	0
Organisms_order_>AT_>Cc_>So	69	2	1	0
Organisms_order_>AT_>Cc_>So	70	2	0	1
Organisms_order_>AT_>Cc_>So	71	0	0	1
Organisms_order_>AT_>Cc_>So	73	3	1	1
Organisms_order_>AT_>Cc_>So	76	0	1	1
Organisms_order_>AT_>Cc_>So	80	1	1	0
Organisms_order_>AT_>Cc_>So	85	0	0	1
Organisms_order_>AT_>Cc_>So	88	0	0	1
Organisms_order_>AT_>Cc_>So	89	2	1	1
Organisms_order_>AT_>Cc_>So	91	0	1	0
Organisms_order_>AT_>Cc_>So	92	1	1	1
Organisms_order_>AT_>Cc_>So	95	1	0	0
