unspecified,records,790,sequence size, 30727978,comment,49
minimum length,number of contigs,cumulative sequence
1,790,30.727978,
2,787,30.727975,
658,786,30.727973,
805,785,30.727315,
867,784,30.72651,
937,783,30.725643,
990,782,30.724706,
991,781,30.723716,
1079,780,30.722725,
1130,779,30.721646,
1283,778,30.720516,
1341,777,30.719233,
1353,776,30.717892,
1369,775,30.716539,
1449,774,30.71517,
1555,773,30.713721,
1588,772,30.712166,
1593,771,30.710578,
1608,770,30.708985,
1619,769,30.707377,
1621,768,30.705758,
1624,767,30.704137,
1657,766,30.702513,
1868,765,30.700856,
1871,764,30.698988,
1872,763,30.697117,
1983,762,30.695245,
2010,761,30.693262,
2115,760,30.691252,
2164,759,30.689137,
2173,758,30.686973,
2196,757,30.6848,
2217,756,30.682604,
2243,755,30.680387,
2331,754,30.678144,
2423,753,30.675813,
2483,752,30.67339,
2527,751,30.670907,
2553,750,30.66838,
2588,749,30.665827,
2651,748,30.663239,
2668,747,30.660588,
2672,746,30.65792,
2680,745,30.655248,
2683,744,30.652568,
2722,743,30.649885,
2729,742,30.647163,
2749,741,30.644434,
2771,740,30.641685,
2784,739,30.638914,
2827,738,30.63613,
2831,737,30.633303,
2880,736,30.630472,
2996,735,30.627592,
3003,734,30.624596,
3090,733,30.621593,
3091,732,30.618503,
3124,731,30.615412,
3170,730,30.612288,
3181,729,30.609118,
3296,728,30.605937,
3303,727,30.602641,
3364,726,30.599338,
3373,725,30.595974,
3412,724,30.592601,
3441,723,30.589189,
3480,722,30.585748,
3490,721,30.582268,
3500,720,30.578778,
3525,719,30.575278,
3541,718,30.571753,
3622,717,30.568212,
3713,716,30.56459,
3733,715,30.560877,
3780,714,30.557144,
3841,713,30.553364,
3860,712,30.549523,
3882,711,30.545663,
3915,710,30.541781,
3939,709,30.537866,
3973,708,30.533927,
4035,707,30.529954,
4056,706,30.525919,
4065,705,30.521863,
4067,704,30.517798,
4108,703,30.513731,
4167,702,30.509623,
4190,701,30.505456,
4204,700,30.501266,
4235,699,30.497062,
4260,698,30.492827,
4266,697,30.488567,
4269,696,30.484301,
4278,695,30.480032,
4309,694,30.475754,
4377,693,30.471445,
4391,692,30.467068,
4428,691,30.462677,
4442,690,30.458249,
4450,689,30.453807,
